Code|Name|Unnamed: 2|Latin Name|From|Group|Type|Description
DP001|Bayam kukus||||Sayuran|Olahan/Produk|
DP002|Bayam rebus||||Sayuran|Olahan/Produk|
DP003|Buncis rebus||||Sayuran|Olahan/Produk|
DP004|Daun kacang panjang rebus||||Sayuran|Olahan/Produk|
DP005|Daun katuk rebus||||Sayuran|Olahan/Produk|
DP006|Daun kelor rebus||||Sayuran|Olahan/Produk|
DP007|Daun mengkudu kukus||||Sayuran|Olahan/Produk|
DP008|Daun singkong rebus||||Sayuran|Olahan/Produk|
DP009|Daun talas rebus||||Sayuran|Olahan/Produk|
DP010|Ubi jalar merah kukus||||Sayuran|Olahan/Produk|
DP011|Kacang panjang kukus||||Sayuran|Olahan/Produk|
DP012|Kacang panjang rebus||||Sayuran|Olahan/Produk|
DP013|Kangkung kukus||||Sayuran|Olahan/Produk|
DP014|Kangkung rebus||||Sayuran|Olahan/Produk|
DP015|Pare putih kukus||||Sayuran|Olahan/Produk|
DP016|Selada rebus||||Sayuran|Olahan/Produk|
DP017|Tauge goreng||||Sayuran|Olahan/Produk|
DP018|Tauge seduh||||Sayuran|Olahan/Produk|
DP019|Terong panjang kukus||||Sayuran|Olahan/Produk|
DP020|Wortel rebus||||Sayuran|Olahan/Produk|
DP021|Wortel kukus||||Sayuran|Olahan/Produk|
DP022|Asinan bogor||||Sayuran|Olahan/Produk|
DP023|Sayur anyang||||Sayuran|Olahan/Produk|
DP024|Sayur ares||||Sayuran|Olahan/Produk|
DP025|Arwan sisir||||Sayuran|Olahan/Produk|
DP026|Beberuk||||Sayuran|Olahan/Produk|
DP027|Botok lamtoro||||Sayuran|Olahan/Produk|
DP028|Botok talas||||Sayuran|Olahan/Produk|
DP029|Cammetutu||||Sayuran|Olahan/Produk|
DP030|Capcai sayur||||Sayuran|Olahan/Produk|
DP031|Gado-gado||||Sayuran|Olahan/Produk|
DP032|Sayur gudeg||||Sayuran|Olahan/Produk|
DP033|Gulai pakis||||Sayuran|Olahan/Produk|
DP034|Gulai pliek||||Sayuran|Olahan/Produk|
DP035|Kadada katembe||||Sayuran|Olahan/Produk|
DP036|Sayur kaparende||||Sayuran|Olahan/Produk|
DP037|Karedok||||Sayuran|Olahan/Produk|
DP038|Keripik bayam||||Sayuran|Olahan/Produk|
DP039|Kotiu hinela tawang nggole||||Sayuran|Olahan/Produk|
DP040|Lema/ Rebung asam||||Sayuran|Olahan/Produk|
DP041|Lilin bungkus gedi||||Sayuran|Olahan/Produk|
DP042|Olah-olah||||Sayuran|Olahan/Produk|
DP043|Paku hinela wulelenggapaya||||Sayuran|Olahan/Produk|
DP044|Pelecing kangkung||||Sayuran|Olahan/Produk|
DP045|Purundawa||||Sayuran|Olahan/Produk|
DP046|Rujak cingur||||Sayuran|Olahan/Produk|
DP047|Sayur asam||||Sayuran|Olahan/Produk|
DP048|Sayur bunga pepaya||||Sayuran|Olahan/Produk|
DP049|Sayur garu||||Sayuran|Olahan/Produk|
DP050|Sayur kohu-kohu||||Sayuran|Olahan/Produk|
DP051|Sayur lilin terubuk||||Sayuran|Olahan/Produk|
DP052|Sayur ndusuk||||Sayuran|Olahan/Produk|
DP053|Sup||||Sayuran|Olahan/Produk|
DP054|Sayur umbut kelapa||||Sayuran|Olahan/Produk|
DP055|Sayur umbut rotan||||Sayuran|Olahan/Produk|
DP056|Shabu-shabu||||Sayuran|Olahan/Produk|
DP057|Semur jengkol||||Sayuran|Olahan/Produk|
DP058|Tinira ninahu nggaluku||||Sayuran|Olahan/Produk|
DP059|Tumis bayam santan||||Sayuran|Olahan/Produk|
DP060|Balamak labu||||Sayuran|Olahan/Produk|
DP061|Woku ubi||||Sayuran|Olahan/Produk|
DR001|Akar teratai segar||||Sayuran|Mentah|
DR002|Tauge segar||||Sayuran|Mentah|
DR003|Andaliman segar||||Sayuran|Mentah|
DR004|Andewi segar||||Sayuran|Mentah|
DR005|Bawang daun segar||||Sayuran|Mentah|
DR006|Beligo segar||||Sayuran|Mentah|
DR007|Bawang bombay segar||||Sayuran|Mentah|
DR008|Bayam segar||||Sayuran|Mentah|
DR009|Bayam merah segar||||Sayuran|Mentah|
DR010|Bit segar||||Sayuran|Mentah|
DR011|Buah kelor||||Sayuran|Mentah|
DR012|Buah merah||||Sayuran|Mentah|
DR013|Buncis segar||||Sayuran|Mentah|
DR014|Bunga pepaya segar||||Sayuran|Mentah|
DR015|Bunga turi segar||||Sayuran|Mentah|
DR016|Caisim segar||||Sayuran|Mentah|
DR017|Daun bangun-bangun segar||||Sayuran|Mentah|
DR018|Daun bawang segar||||Sayuran|Mentah|
DR019|Daun bebuas segar||||Sayuran|Mentah|
DR020|Daun belem segar||||Sayuran|Mentah|
DR021|Daun beluntas segar||||Sayuran|Mentah|
DR022|Daun gandaria segar||||Sayuran|Mentah|
DR023|Daun gedi besar segar||||Sayuran|Mentah|
DR024|Daun gedi kecil segar||||Sayuran|Mentah|
DR025|Daun krokot segar||||Sayuran|Mentah|
DR026|Daun jembak bali segar||||Sayuran|Mentah|
DR027|Daun jembak serang segar||||Sayuran|Mentah|
DR028|Daun jipang muda segar||||Sayuran|Mentah|
DR029|Daun kaki kuda segar||||Sayuran|Mentah|
DR030|Daun jawaw seluang segar||||Sayuran|Mentah|
DR031|Daun jombang segar||||Sayuran|Mentah|
DR032|Daun laba-laba segar||||Sayuran|Mentah|
DR033|Daun kacang panjang segar||||Sayuran|Mentah|
DR034|Daun karet kebo segar||||Sayuran|Mentah|
DR035|Daun katuk segar||||Sayuran|Mentah|
DR036|Kecipir segar||||Sayuran|Mentah|
DR037|Daun kedondong segar||||Sayuran|Mentah|
DR038|Daun kelor segar||||Sayuran|Mentah|
DR039|Daun kemang segar||||Sayuran|Mentah|
DR040|Daun kenikir segar||||Sayuran|Mentah|
DR041|Daun kesum segar||||Sayuran|Mentah|
DR042|Daun sawi india segar||||Sayuran|Mentah|
DR043|Daun koro segar||||Sayuran|Mentah|
DR044|Daun kubis segar||||Sayuran|Mentah|
DR045|Daun lablab segar||||Sayuran|Mentah|
DR046|Daun labu siam segar||||Sayuran|Mentah|
DR047|Daun labu kuning segar||||Sayuran|Mentah|
DR048|Daun lamtoro segar||||Sayuran|Mentah|
DR049|Daun leilem segar||||Sayuran|Mentah|
DR050|Daun leunca segar||||Sayuran|Mentah|
DR051|Daun lobak segar||||Sayuran|Mentah|
DR052|Daun talas segar||||Sayuran|Mentah|
DR053|Daun mangkokan segar||||Sayuran|Mentah|
DR054|Daun matel ambon segar||||Sayuran|Mentah|
DR055|Daun melinjo segar||||Sayuran|Mentah|
DR056|Daun mengkudu segar||||Sayuran|Mentah|
DR057|Daun ndusuk segar||||Sayuran|Mentah|
DR058|Daun oyong segar||||Sayuran|Mentah|
DR059|Daun pakis segar||||Sayuran|Mentah|
DR060|Daun pakis longgiho segar||||Sayuran|Mentah|
DR061|Daun pakis wambateu segar||||Sayuran|Mentah|
DR062|Pakis sayur segar||||Sayuran|Mentah|
DR063|Daun parea segar||||Sayuran|Mentah|
DR064|Daun pare segar||||Sayuran|Mentah|
DR065|Daun pepaya segar||||Sayuran|Mentah|
DR066|Daun pilea segar||||Sayuran|Mentah|
DR067|Daun ruku-ruku segar||||Sayuran|Mentah|
DR068|Daun semanggi segar||||Sayuran|Mentah|
DR069|Daun simpoh segar||||Sayuran|Mentah|
DR070|Daun singkil segar||||Sayuran|Mentah|
DR071|Daun singkong segar||||Sayuran|Mentah|
DR072|Daun singkong ambon segar||||Sayuran|Mentah|
DR073|Daun singkong ampenan segar||||Sayuran|Mentah|
DR074|Daun singkong kopang segar||||Sayuran|Mentah|
DR075|Daun sonti segar||||Sayuran|Mentah|
DR076|Daun talas segar||||Sayuran|Mentah|
DR077|Daun tespong segar||||Sayuran|Mentah|
DR078|Daun ubi jalar kuning segar||||Sayuran|Mentah|
DR079|Daun ubi jalar merah segar||||Sayuran|Mentah|
DR080|Daun ubi jalar putih segar||||Sayuran|Mentah|
DR081|Daun ubi jalar ungu segar||||Sayuran|Mentah|
DR082|Eceng gondok segar||||Sayuran|Mentah|
DR083|Oyong segar||||Sayuran|Mentah|
DR084|Genjer segar||||Sayuran|Mentah|
DR085|Jagung muda segar||||Sayuran|Mentah|
DR086|Jamur encik||||Sayuran|Mentah|
DR087|Jamur kuping kering||||Sayuran|Mentah|
DR088|Jamur kuping segar||||Sayuran|Mentah|
DR089|Jamur merang segar||||Sayuran|Mentah|
DR090|Jamur tiram segar||||Sayuran|Mentah|
DR091|Jamur sagu||||Sayuran|Mentah|
DR092|Jantung pisang segar||||Sayuran|Mentah|
DR093|Jengkol segar||||Sayuran|Mentah|
DR094|Jotang||||Sayuran|Mentah|
DR095|Kabau segar||||Sayuran|Mentah|
DR096|Kacang buncis mekah segar||||Sayuran|Mentah|
DR097|Kacang panjang segar||||Sayuran|Mentah|
DR098|Kacang ranti||||Sayuran|Mentah|
DR099|Kalakai segar||||Sayuran|Mentah|
DR100|Kangkung||||Sayuran|Mentah|
DR101|Kangkung tondano||||Sayuran|Mentah|
DR102|Kapri muda segar||||Sayuran|Mentah|
DR103|Pare||||Sayuran|Mentah|
DR104|Kecipir muda segar||||Sayuran|Mentah|
DR105|Kecombrang segar||||Sayuran|Mentah|
DR106|Keluwih segar||||Sayuran|Mentah|
DR107|Bunga turi segar||||Sayuran|Mentah|
DR108|Kembung segar||||Sayuran|Mentah|
DR109|Timun segar||||Sayuran|Mentah|
DR110|Timun krai segar||||Sayuran|Mentah|
DR111|Timun madura segar||||Sayuran|Mentah|
DR112|Koro||||Sayuran|Mentah|
DR113|Kembang kol segar||||Sayuran|Mentah|
DR114|Kubis merah||||Sayuran|Mentah|
DR115|Polong kerupuk koro||||Sayuran|Mentah|
DR116|Biji koro kering||||Sayuran|Mentah|
DR117|Kucai segar||||Sayuran|Mentah|
DR118|Kucai muda segar||||Sayuran|Mentah|
DR119|Kulit melinjo segar||||Sayuran|Mentah|
DR120|Kundur segar||||Sayuran|Mentah|
DR121|Labu air segar||||Sayuran|Mentah|
DR122|Labu kuning segar||||Sayuran|Mentah|
DR123|Labu siam segar||||Sayuran|Mentah|
DR124|Labu siam segar||||Sayuran|Mentah|
DR125|Lantar segar||||Sayuran|Mentah|
DR126|Lobak segar||||Sayuran|Mentah|
DR127|Leunca segar||||Sayuran|Mentah|
DR128|Melinjo segar||||Sayuran|Mentah|
DR129|Sawi hijau||||Sayuran|Mentah|
DR130|Nangka muda segar||||Sayuran|Mentah|
DR131|Pare putih segar||||Sayuran|Mentah|
DR132|Pare ular segar||||Sayuran|Mentah|
DR133|Pepaya muda segar||||Sayuran|Mentah|
DR134|Petai segar||||Sayuran|Mentah|
DR135|Peterseli segar||||Sayuran|Mentah|
DR136|Daun leunca segar||||Sayuran|Mentah|
DR137|Putri malu||||Sayuran|Mentah|
DR138|Rebung segar||||Sayuran|Mentah|
DR139|Takokak segar||||Sayuran|Mentah|
DR140|Rumput laut||||Sayuran|Mentah|
DR141|Sawi hijau segar||||Sayuran|Mentah|
DR142|Sawi putih segar||||Sayuran|Mentah|
DR143|Sawi taiwan segar||||Sayuran|Mentah|
DR144|Sawi hijau segar||||Sayuran|Mentah|
DR145|Selada segar||||Sayuran|Mentah|
DR146|Selada air segar||||Sayuran|Mentah|
DR147|Seledri segar||||Sayuran|Mentah|
DR148|Tauge segar||||Sayuran|Mentah|
DR149|Tauge kedelai segar||||Sayuran|Mentah|
DR150|Tauge kacang tunggak segar||||Sayuran|Mentah|
DR151|Tebu ratun segar||||Sayuran|Mentah|
DR152|Terong pipit segar||||Sayuran|Mentah|
DR153|Terong pipit kering||||Sayuran|Mentah|
DR154|Terong segar||||Sayuran|Mentah|
DR155|Terong asam segar||||Sayuran|Mentah|
DR156|Terong belanda segar||||Sayuran|Mentah|
DR157|Terong bengkulu segar||||Sayuran|Mentah|
DR158|Terong hintaro segar||||Sayuran|Mentah|
DR159|Terong panjang||||Sayuran|Mentah|
DR160|Jus tomat segar||||Sayuran|Mentah|
DR161|Tomat merah segar||||Sayuran|Mentah|
DR162|Tomat hijau segar||||Sayuran|Mentah|
DR163|Bunga uceng/melinjo segar||||Sayuran|Mentah|
DR164|Umbut kelapa segar||||Sayuran|Mentah|
DR165|Pucuk rotan muda||||Sayuran|Mentah|
DR166|Wortel segar||||Sayuran|Mentah|
EP001|Barongko||||Buah-buahan|Olahan/Produk|
EP002|Dodol nanas||||Buah-buahan|Olahan/Produk|
EP003|Getuk pisang||||Buah-buahan|Olahan/Produk|
EP004|Kerupuk lampung||||Buah-buahan|Olahan/Produk|
EP005|Ledre pisang||||Buah-buahan|Olahan/Produk|
EP006|Lempog durian||||Buah-buahan|Olahan/Produk|
EP007|Loka anjoro||||Buah-buahan|Olahan/Produk|
EP008|Rica-rica taipa||||Buah-buahan|Olahan/Produk|
EP009|Rujak aceh||||Buah-buahan|Olahan/Produk|
EP010|Kesemek kering||||Buah-buahan|Olahan/Produk|
EP011|Pisang kering||||Buah-buahan|Olahan/Produk|
EP012|Pisang sale cilacap||||Buah-buahan|Olahan/Produk|
EP013|Sanggara belanda||||Buah-buahan|Olahan/Produk|
EP014|Tepung pisang||||Buah-buahan|Olahan/Produk|
EP015|Tepung sukun||||Buah-buahan|Olahan/Produk|
ER001|Alpukat segar||||Buah-buahan|Mentah|
ER002|Anggur liar segar||||Buah-buahan|Mentah|
ER003|Apel malang segar||||Buah-buahan|Mentah|
ER004|Apel segar||||Buah-buahan|Mentah|
ER005|Arbei segar||||Buah-buahan|Mentah|
ER006|Belimbing segar||||Buah-buahan|Mentah|
ER007|Biwa segar||||Buah-buahan|Mentah|
ER008|Buah balam segar||||Buah-buahan|Mentah|
ER009|Buah kelenting segar||||Buah-buahan|Mentah|
ER010|Buah bidara segar||||Buah-buahan|Mentah|
ER011|Buah bisbul segar||||Buah-buahan|Mentah|
ER012|Buah naga merah segar||||Buah-buahan|Mentah|
ER013|Buah naga putih segar||||Buah-buahan|Mentah|
ER014|Buah markisa segar||||Buah-buahan|Mentah|
ER015|Buah srikaya liar segar||||Buah-buahan|Mentah|
ER016|Asam paya segar||||Buah-buahan|Mentah|
ER017|Buah rukem segar||||Buah-buahan|Mentah|
ER018|Buah ruruhi segar||||Buah-buahan|Mentah|
ER019|Buah tuppa segar||||Buah-buahan|Mentah|
ER020|Pepaya segar||||Buah-buahan|Mentah|
ER021|Cempedak segar||||Buah-buahan|Mentah|
ER022|Langsat segar||||Buah-buahan|Mentah|
ER023|Durian segar||||Buah-buahan|Mentah|
ER024|Jamblang segar||||Buah-buahan|Mentah|
ER025|Mangga saipan segar||||Buah-buahan|Mentah|
ER026|Terong belanda segar||||Buah-buahan|Mentah|
ER027|Markisa segar||||Buah-buahan|Mentah|
ER028|Mangga gandaria matang||||Buah-buahan|Mentah|
ER029|Kacang tahiti segar||||Buah-buahan|Mentah|
ER030|Jambu air segar||||Buah-buahan|Mentah|
ER031|Jambu biji||||Buah-buahan|Mentah|
ER032|Jambu biji biasa||||Buah-buahan|Mentah|
ER033|Jambu bol segar||||Buah-buahan|Mentah|
ER034|Jambu mete segar||||Buah-buahan|Mentah|
ER035|Jeruk bali segar||||Buah-buahan|Mentah|
ER036|Jeruk keprok segar||||Buah-buahan|Mentah|
ER037|Jeruk mandarin||||Buah-buahan|Mentah|
ER038|Jeruk kasturi segar||||Buah-buahan|Mentah|
ER039|Jeruk manis segar||||Buah-buahan|Mentah|
ER040|Jeruk nipis segar||||Buah-buahan|Mentah|
ER041|Jeruk ragi segar||||Buah-buahan|Mentah|
ER042|Kawista segar||||Buah-buahan|Mentah|
ER043|Kedondong matang segar||||Buah-buahan|Mentah|
ER044|Kedondong muda segar||||Buah-buahan|Mentah|
ER045|Woromo kering||||Buah-buahan|Mentah|
ER046|Daging kelapa muda segar||||Buah-buahan|Mentah|
ER047|Kemang segar||||Buah-buahan|Mentah|
ER048|Kesemek segar||||Buah-buahan|Mentah|
ER049|Langsat segar||||Buah-buahan|Mentah|
ER050|Asam jawa manila segar||||Buah-buahan|Mentah|
ER051|Langsat segar||||Buah-buahan|Mentah|
ER052|Lemon segar||||Buah-buahan|Mentah|
ER053|Lontar segar||||Buah-buahan|Mentah|
ER054|Mangga segar||||Buah-buahan|Mentah|
ER055|Mangga brazil segar||||Buah-buahan|Mentah|
ER056|Mangga gedung segar||||Buah-buahan|Mentah|
ER057|Mangga teluk cedar segar||||Buah-buahan|Mentah|
ER058|Mangga arumanis segar||||Buah-buahan|Mentah|
ER059|Mangga indramayu segar||||Buah-buahan|Mentah|
ER060|Mangga kopek segar||||Buah-buahan|Mentah|
ER061|Mangga kweni segar||||Buah-buahan|Mentah|
ER062|Mangga manalagi segar||||Buah-buahan|Mentah|
ER063|Mangga muda segar||||Buah-buahan|Mentah|
ER064|Manggis segar||||Buah-buahan|Mentah|
ER065|Markisa segar||||Buah-buahan|Mentah|
ER066|Matoa segar||||Buah-buahan|Mentah|
ER067|Melon segar||||Buah-buahan|Mentah|
ER068|Menteng segar||||Buah-buahan|Mentah|
ER069|Nanas palembang segar||||Buah-buahan|Mentah|
ER070|Nanas segar||||Buah-buahan|Mentah|
ER071|Nangka matang pohon segar||||Buah-buahan|Mentah|
ER072|Daging pala segar||||Buah-buahan|Mentah|
ER073|Pepaya segar||||Buah-buahan|Mentah|
ER074|Pisang ambon segar||||Buah-buahan|Mentah|
ER075|Pisang angleng (pisang ampyang) segar||||Buah-buahan|Mentah|
ER076|Pisang ayam segar||||Buah-buahan|Mentah|
ER077|Pisang gapi segar||||Buah-buahan|Mentah|
ER078|Pisang goroho segar||||Buah-buahan|Mentah|
ER079|Pisang hijau segar||||Buah-buahan|Mentah|
ER080|Pisang olah segar||||Buah-buahan|Mentah|
ER081|Pisang kepok segar||||Buah-buahan|Mentah|
ER082|Pisang ketip segar||||Buah-buahan|Mentah|
ER083|Pisang merah segar||||Buah-buahan|Mentah|
ER084|Pisang senorita segar||||Buah-buahan|Mentah|
ER085|Pisang mas bali ampenan segar||||Buah-buahan|Mentah|
ER086|Pisang mas bali kopang segar||||Buah-buahan|Mentah|
ER087|Pisang mas segar||||Buah-buahan|Mentah|
ER088|Pisang raja sereh segar||||Buah-buahan|Mentah|
ER089|Pisang tanduk segar||||Buah-buahan|Mentah|
ER090|Pisang rotan segar||||Buah-buahan|Mentah|
ER091|Pisang talas segar||||Buah-buahan|Mentah|
ER092|Pisang tujuh bulan||||Buah-buahan|Mentah|
ER093|Pisang ua segar||||Buah-buahan|Mentah|
ER094|Pisang uli segar||||Buah-buahan|Mentah|
ER095|Jeruk purut segar||||Buah-buahan|Mentah|
ER096|Rambutan binjai segar||||Buah-buahan|Mentah|
ER097|Rambutan segar||||Buah-buahan|Mentah|
ER098|Salak bali segar||||Buah-buahan|Mentah|
ER099|Salak medan segar||||Buah-buahan|Mentah|
ER100|Salak pondoh segar||||Buah-buahan|Mentah|
ER101|Salak segar||||Buah-buahan|Mentah|
ER102|Sawo duren segar||||Buah-buahan|Mentah|
ER103|Kesemek segar||||Buah-buahan|Mentah|
ER104|Sawo segar||||Buah-buahan|Mentah|
ER105|Semangka segar||||Buah-buahan|Mentah|
ER106|Sirsak segar||||Buah-buahan|Mentah|
ER107|Sowa segar||||Buah-buahan|Mentah|
ER108|Srikaya segar||||Buah-buahan|Mentah|
ER109|Sukun muda segar||||Buah-buahan|Mentah|
ER110|Sukun matang segar||||Buah-buahan|Mentah|
ER111|Vigus segar||||Buah-buahan|Mentah|
ER112|Wani segar||||Buah-buahan|Mentah|
FP001|Ampela ayam goreng||||Daging dan Unggas|Olahan/Produk|
FP002|Usus ayam goreng||||Daging dan Unggas|Olahan/Produk|
FP003|Daging bebek goreng||||Daging dan Unggas|Olahan/Produk|
FP004|Dendeng daging buaya mentah||||Daging dan Unggas|Olahan/Produk|
FP005|Ham||||Daging dan Unggas|Olahan/Produk|
FP006|Dendeng daging itik (alabio) mentah||||Daging dan Unggas|Olahan/Produk|
FP007|Kerupuk urat||||Daging dan Unggas|Olahan/Produk|
FP008|Dendeng daging menjangan mentah||||Daging dan Unggas|Olahan/Produk|
FP009|Daging merpati goreng||||Daging dan Unggas|Olahan/Produk|
FP010|Dendeng daging rusa mentah||||Daging dan Unggas|Olahan/Produk|
FP011|Abon sapi||||Daging dan Unggas|Olahan/Produk|
FP012|Abon sapi original||||Daging dan Unggas|Olahan/Produk|
FP013|Daging sapi asap||||Daging dan Unggas|Olahan/Produk|
FP014|Dendeng daging sapi mentah||||Daging dan Unggas|Olahan/Produk|
FP015|Kornet sapi||||Daging dan Unggas|Olahan/Produk|
FP016|Sosis daging sapi||||Daging dan Unggas|Olahan/Produk|
FP017|Sosis hati sapi||||Daging dan Unggas|Olahan/Produk|
FP018|Dendeng paru sapi mentah||||Daging dan Unggas|Olahan/Produk|
FP019|Paru sapi goreng||||Daging dan Unggas|Olahan/Produk|
FP020|Ulat sagu panggang||||Daging dan Unggas|Olahan/Produk|
FP021|Dada ayam goreng Church's Texas||||Daging dan Unggas|Olahan/Produk|
FP022|Paha ayam goreng Church's Texas||||Daging dan Unggas|Olahan/Produk|
FP023|Sayap ayam goreng Church's Texas||||Daging dan Unggas|Olahan/Produk|
FP024|Paha ayam goreng Kalasan||||Daging dan Unggas|Olahan/Produk|
FP025|Dada ayam goreng Kentucky||||Daging dan Unggas|Olahan/Produk|
FP026|Paha ayam goreng Kentucky||||Daging dan Unggas|Olahan/Produk|
FP027|Sayap ayam goreng Kentucky||||Daging dan Unggas|Olahan/Produk|
FP028|Dada ayam goreng Mbok Berek||||Daging dan Unggas|Olahan/Produk|
FP029|Dada ayam goreng Pasundan||||Daging dan Unggas|Olahan/Produk|
FP030|Paha ayam goreng Pasundan||||Daging dan Unggas|Olahan/Produk|
FP031|Dada ayam goreng Pioneer||||Daging dan Unggas|Olahan/Produk|
FP032|Dada ayam goreng Sukabumi||||Daging dan Unggas|Olahan/Produk|
FP033|Paha ayam goreng Sukabumi||||Daging dan Unggas|Olahan/Produk|
FP034|Masakan ayam Taliwang||||Daging dan Unggas|Olahan/Produk|
FP035|Masakan rica babi hutan||||Daging dan Unggas|Olahan/Produk|
FP036|Burger sapi||||Daging dan Unggas|Olahan/Produk|
FP037|Masakan teriyaki sapi||||Daging dan Unggas|Olahan/Produk|
FP038|Masakan yakiniku sapi||||Daging dan Unggas|Olahan/Produk|
FP039|Brongkos||||Daging dan Unggas|Olahan/Produk|
FP040|Masakan bulgogi||||Daging dan Unggas|Olahan/Produk|
FP041|Masakan teriyaki ayam||||Daging dan Unggas|Olahan/Produk|
FP042|Masakan chikiniku||||Daging dan Unggas|Olahan/Produk|
FP043|Coto mangkasara kuda||||Daging dan Unggas|Olahan/Produk|
FP044|Coto mangkasara sapi||||Daging dan Unggas|Olahan/Produk|
FP045|Masakan djibokum||||Daging dan Unggas|Olahan/Produk|
FP046|Masakan empal goreng||||Daging dan Unggas|Olahan/Produk|
FP047|Kari kambing||||Daging dan Unggas|Olahan/Produk|
FP048|Masakan jangang bintatoeng||||Daging dan Unggas|Olahan/Produk|
FP049|Kalio ayam||||Daging dan Unggas|Olahan/Produk|
FP050|Kalio jeroan||||Daging dan Unggas|Olahan/Produk|
FP051|Kalio kikil (tunjang)||||Daging dan Unggas|Olahan/Produk|
FP052|Kalio otak||||Daging dan Unggas|Olahan/Produk|
FP053|Lawar babi||||Daging dan Unggas|Olahan/Produk|
FP054|Lawar penyu||||Daging dan Unggas|Olahan/Produk|
FP055|Lawara jangang||||Daging dan Unggas|Olahan/Produk|
FP056|Masakan naan maran sapi||||Daging dan Unggas|Olahan/Produk|
FP057|Nasu likku||||Daging dan Unggas|Olahan/Produk|
FP058|Oramu ninahu ndawa olaho||||Daging dan Unggas|Olahan/Produk|
FP059|Paniki masak santan||||Daging dan Unggas|Olahan/Produk|
FP060|Pelolah manuk||||Daging dan Unggas|Olahan/Produk|
FP061|Rawon||||Daging dan Unggas|Olahan/Produk|
FP062|Rendang sapi||||Daging dan Unggas|Olahan/Produk|
FP063|Masakan RW (anjing)||||Daging dan Unggas|Olahan/Produk|
FP064|Sate penyu||||Daging dan Unggas|Olahan/Produk|
FP065|Sate pusut||||Daging dan Unggas|Olahan/Produk|
FP066|Masakan serapah penyu||||Daging dan Unggas|Olahan/Produk|
FP067|Sie reuboh||||Daging dan Unggas|Olahan/Produk|
FP068|Sup buntut||||Daging dan Unggas|Olahan/Produk|
FP069|Sup daging sapi||||Daging dan Unggas|Olahan/Produk|
FP070|Sup kaki sapi||||Daging dan Unggas|Olahan/Produk|
FP071|Sup kambing||||Daging dan Unggas|Olahan/Produk|
FP072|Sup konro||||Daging dan Unggas|Olahan/Produk|
FP073|Sup saudara||||Daging dan Unggas|Olahan/Produk|
FP074|Soto bandung||||Daging dan Unggas|Olahan/Produk|
FP075|Soto banjar||||Daging dan Unggas|Olahan/Produk|
FP076|Soto betawi||||Daging dan Unggas|Olahan/Produk|
FP077|Soto jeroan||||Daging dan Unggas|Olahan/Produk|
FP078|Masakan soto kudus||||Daging dan Unggas|Olahan/Produk|
FP079|Soto madura||||Daging dan Unggas|Olahan/Produk|
FP080|Soto padang||||Daging dan Unggas|Olahan/Produk|
FP081|Soto pekalongan||||Daging dan Unggas|Olahan/Produk|
FP082|Soto pemalang||||Daging dan Unggas|Olahan/Produk|
FP083|Soto sukaraja||||Daging dan Unggas|Olahan/Produk|
FP084|Soto sulung||||Daging dan Unggas|Olahan/Produk|
FP085|Sukiyaki||||Daging dan Unggas|Olahan/Produk|
FP086|Tedong pallu basa||||Daging dan Unggas|Olahan/Produk|
FP087|Rica tikus||||Daging dan Unggas|Olahan/Produk|
FP088|Tinoransa||||Daging dan Unggas|Olahan/Produk|
FR001|Daging sapi muda berlemak segar||||Daging dan Unggas|Mentah|
FR002|Daging sapi muda tanpa lemak segar||||Daging dan Unggas|Mentah|
FR003|Daging sapi muda sedang lemak segar||||Daging dan Unggas|Mentah|
FR004|Daging angsa segar||||Daging dan Unggas|Mentah|
FR005|Daging ayam segar||||Daging dan Unggas|Mentah|
FR006|Darah ayam segar||||Daging dan Unggas|Mentah|
FR007|Hati ayam segar||||Daging dan Unggas|Mentah|
FR008|Daging babi berlemak segar||||Daging dan Unggas|Mentah|
FR009|Daging babi tanpa lemak segar||||Daging dan Unggas|Mentah|
FR010|Ginjal babi segar||||Daging dan Unggas|Mentah|
FR011|Hati babi segar||||Daging dan Unggas|Mentah|
FR012|Daging bebek segar||||Daging dan Unggas|Mentah|
FR013|Daging itik (alabio) segar||||Daging dan Unggas|Mentah|
FR014|Daging belibis segar||||Daging dan Unggas|Mentah|
FR015|Sarang burung segar||||Daging dan Unggas|Mentah|
FR016|Daging domba berlemak segar||||Daging dan Unggas|Mentah|
FR017|Daging domba tanpa lemak segar||||Daging dan Unggas|Mentah|
FR018|Ginjal domba segar||||Daging dan Unggas|Mentah|
FR019|Daging kambing segar||||Daging dan Unggas|Mentah|
FR020|Daging kelinci segar||||Daging dan Unggas|Mentah|
FR021|Daging kerbau segar||||Daging dan Unggas|Mentah|
FR022|Daging kuda segar||||Daging dan Unggas|Mentah|
FR023|Babat sapi segar||||Daging dan Unggas|Mentah|
FR024|Daging sapi berlemak segar||||Daging dan Unggas|Mentah|
FR025|Daging sapi tanpa lemak segar||||Daging dan Unggas|Mentah|
FR026|Daging sapi sedang lemak segar||||Daging dan Unggas|Mentah|
FR027|Jeroan sapi segar||||Daging dan Unggas|Mentah|
FR028|Darah sapi segar||||Daging dan Unggas|Mentah|
FR029|Ginjal sapi segar||||Daging dan Unggas|Mentah|
FR030|Babat sapi segar||||Daging dan Unggas|Mentah|
FR031|Hati sapi segar||||Daging dan Unggas|Mentah|
FR032|Otak sapi segar||||Daging dan Unggas|Mentah|
