Code|Nutrient/Ingridient|Value (per 100gr)
BP059|Karoten Total (Re)|0 mcg
BP059|Vitamin C (Vit. C)|0 mg
BP060|Air (Water)|8.2 g
BP060|Energi (Energy)|364 Kal
BP060|Protein (Protein)|0.1 g
BP060|Lemak (Fat)|0.2 g
BP060|Karbohidrat (CHO)|90.5 g
BP060|Serat (Fibre)|1.9 g
BP060|Abu (ASH)|1.0 g
BP060|Kalsium (Ca)|13 mg
BP060|Fosfor (P)|9 mg
BP060|Besi (Fe)|3.9 mg
BP060|Natrium (Na)|42 mg
BP060|Kalium (K)|15.1 mg
BP060|Tembaga (Cu)|0.10 mg
BP060|Seng (Zn)|0.1 mg
BP060|Beta-Karoten (Carotenes)|0 mcg
BP060|Karoten Total (Re)|0 mcg
BP060|Thiamin (Vit. B1)|0.02 mg
BP060|Riboflavin (Vit. B2)|0.60 mg
BP060|Niasin (Niacin)|0.8 mg
BP060|Vitamin C (Vit. C)|0 mg
BP061|Air (Water)|22.0 g
BP061|Energi (Energy)|354 Kal
BP061|Protein (Protein)|0.8 g
BP061|Lemak (Fat)|8.3 g
BP061|Karbohidrat (CHO)|68.9 g
BP061|Abu (ASH)|0.1 g
BP061|Kalsium (Ca)|10 mg
BP061|Fosfor (P)|30 mg
BP061|Besi (Fe)|0.8 mg
BP061|Natrium (Na)|30 mg
BP061|Kalium (K)|11.0 mg
BP061|Tembaga (Cu)|0.20 mg
BP061|Seng (Zn)|0.3 mg
BP061|Retinol (Vit. A)|0 mcg
BP061|Beta-Karoten (Carotenes)|0 mcg
BP061|Karoten Total (Re)|0 mcg
BP061|Vitamin C (Vit. C)|0 mg
BP062|Air (Water)|4.8 g
BP062|Energi (Energy)|478 Kal
BP062|Protein (Protein)|2.5 g
BP062|Lemak (Fat)|21.2 g
BP062|Karbohidrat (CHO)|69.2 g
BP062|Serat (Fibre)|1.7 g
BP062|Abu (ASH)|2.3 g
BP062|Kalsium (Ca)|112 mg
BP062|Fosfor (P)|118 mg
BP062|Besi (Fe)|2.3 mg
BP062|Retinol (Vit. A)|0 mcg
BP062|Karoten Total (Re)|0 mcg
BP062|Thiamin (Vit. B1)|0.25 mg
BP062|Vitamin C (Vit. C)|0 mg
BP063|Air (Water)|57.4 g
BP063|Energi (Energy)|169 Kal
BP063|Protein (Protein)|1.4 g
BP063|Lemak (Fat)|0.3 g
BP063|Karbohidrat (CHO)|40.2 g
BP063|Serat (Fibre)|2.0 g
BP063|Abu (ASH)|0.7 g
BP063|Kalsium (Ca)|21 mg
BP063|Fosfor (P)|34 mg
BP063|Besi (Fe)|0.8 mg
BP063|Retinol (Vit. A)|0 mcg
BP063|Beta-Karoten (Carotenes)|0 mcg
BP063|Karoten Total (Re)|0 mcg
BP063|Thiamin (Vit. B1)|0.00 mg
BP063|Vitamin C (Vit. C)|9 mg
BP064|Air (Water)|13.6 g
BP064|Energi (Energy)|355 Kal
BP064|Protein (Protein)|0.7 g
BP064|Lemak (Fat)|0.2 g
BP064|Karbohidrat (CHO)|85.2 g
BP064|Serat (Fibre)|0.4 g
BP064|Abu (ASH)|0.3 g
BP064|Kalsium (Ca)|8 mg
BP064|Fosfor (P)|22 mg
BP064|Besi (Fe)|1.5 mg
BP064|Natrium (Na)|2 mg
BP064|Kalium (K)|10.7 mg
BP064|Tembaga (Cu)|0.00 mg
BP064|Seng (Zn)|0.1 mg
BP064|Beta-Karoten (Carotenes)|20 mcg
BP064|Karoten Total (Re)|3 mcg
BP064|Thiamin (Vit. B1)|0.09 mg
BP064|Riboflavin (Vit. B2)|0.00 mg
BP064|Niasin (Niacin)|0.0 mg
BP064|Vitamin C (Vit. C)|0 mg
BP065|Air (Water)|13.6 g
BP065|Energi (Energy)|353 Kal
BP065|Protein (Protein)|0.8 g
BP065|Lemak (Fat)|1.7 g
BP065|Karbohidrat (CHO)|83.6 g
BP065|Serat (Fibre)|0.7 g
BP065|Abu (ASH)|0.3 g
BP065|Kalsium (Ca)|4 mg
BP065|Fosfor (P)|31 mg
BP065|Besi (Fe)|3.3 mg
BP065|Natrium (Na)|3 mg
BP065|Kalium (K)|63.5 mg
BP065|Tembaga (Cu)|0.10 mg
BP065|Seng (Zn)|0.3 mg
BP065|Beta-Karoten (Carotenes)|0 mcg
BP065|Karoten Total (Re)|0 mcg
BP065|Thiamin (Vit. B1)|0.02 mg
BP065|Riboflavin (Vit. B2)|0.00 mg
BP065|Niasin (Niacin)|0.9 mg
BP065|Vitamin C (Vit. C)|1 mg
BP066|Air (Water)|13.0 g
BP066|Energi (Energy)|345 Kal
BP066|Protein (Protein)|2.4 g
BP066|Lemak (Fat)|0.4 g
BP066|Karbohidrat (CHO)|83.1 g
BP066|Serat (Fibre)|6.7 g
BP066|Abu (ASH)|1.1 g
BP066|Kalsium (Ca)|18 mg
BP066|Fosfor (P)|95 mg
BP066|Besi (Fe)|1.5 mg
BP066|Natrium (Na)|6 mg
BP066|Kalium (K)|55.0 mg
BP066|Tembaga (Cu)|0.40 mg
BP066|Seng (Zn)|1.2 mg
BP066|Beta-Karoten (Carotenes)|1 mcg
BP066|Karoten Total (Re)|0 mcg
BP066|Thiamin (Vit. B1)|0.30 mg
BP066|Riboflavin (Vit. B2)|0.20 mg
BP066|Niasin (Niacin)|0.1 mg
BP066|Vitamin C (Vit. C)|0 mg
BP067|Air (Water)|13.0 g
BP067|Energi (Energy)|347 Kal
BP067|Protein (Protein)|0.3 g
BP067|Lemak (Fat)|0.1 g
BP067|Karbohidrat (CHO)|85.6 g
BP067|Serat (Fibre)|0.4 g
BP067|Abu (ASH)|1.0 g
BP067|Kalsium (Ca)|20 mg
BP067|Fosfor (P)|30 mg
BP067|Besi (Fe)|0.5 mg
BP067|Natrium (Na)|51 mg
BP067|Kalium (K)|156.3 mg
BP067|Tembaga (Cu)|0.20 mg
BP067|Seng (Zn)|0.5 mg
BP067|Beta-Karoten (Carotenes)|0 mcg
BP067|Karoten Total (Re)|0 mcg
BP067|Thiamin (Vit. B1)|0.04 mg
BP067|Riboflavin (Vit. B2)|0.00 mg
BP067|Niasin (Niacin)|0.4 mg
BP067|Vitamin C (Vit. C)|0 mg
BP068|Air (Water)|11.9 g
BP068|Energi (Energy)|350 Kal
BP068|Protein (Protein)|1.2 g
BP068|Lemak (Fat)|0.6 g
BP068|Karbohidrat (CHO)|85.0 g
BP068|Serat (Fibre)|6.0 g
BP068|Abu (ASH)|1.3 g
BP068|Kalsium (Ca)|60 mg
BP068|Fosfor (P)|64 mg
BP068|Besi (Fe)|15.8 mg
BP068|Natrium (Na)|8 mg
BP068|Kalium (K)|403.0 mg
BP068|Tembaga (Cu)|0.10 mg
BP068|Seng (Zn)|0.6 mg
BP068|Beta-Karoten (Carotenes)|0 mcg
BP068|Karoten Total (Re)|0 mcg
BP068|Thiamin (Vit. B1)|0.02 mg
BP068|Riboflavin (Vit. B2)|0.02 mg
BP068|Niasin (Niacin)|0.7 mg
BP068|Vitamin C (Vit. C)|2 mg
BP069|Air (Water)|15.3 g
BP069|Energi (Energy)|326 Kal
BP069|Protein (Protein)|4.0 g
BP069|Lemak (Fat)|0.4 g
BP069|Karbohidrat (CHO)|76.7 g
BP069|Serat (Fibre)|8.5 g
BP069|Abu (ASH)|3.6 g
BP069|Kalsium (Ca)|41 mg
BP069|Fosfor (P)|141 mg
BP069|Besi (Fe)|3.5 mg
BP069|Natrium (Na)|14 mg
BP069|Kalium (K)|1,602.0 mg
BP069|Tembaga (Cu)|0.40 mg
BP069|Seng (Zn)|1.4 mg
BP069|Beta-Karoten (Carotenes)|0 mcg
BP069|Karoten Total (Re)|0 mcg
BP069|Thiamin (Vit. B1)|0.02 mg
BP069|Riboflavin (Vit. B2)|0.20 mg
BP069|Niasin (Niacin)|7.7 mg
BP069|Vitamin C (Vit. C)|0 mg
BP070|Air (Water)|9.1 g
BP070|Energi (Energy)|363 Kal
BP070|Protein (Protein)|1.1 g
BP070|Lemak (Fat)|0.5 g
BP070|Karbohidrat (CHO)|88.2 g
BP070|Serat (Fibre)|0.9 g
BP070|Abu (ASH)|1.1 g
BP070|Kalsium (Ca)|84 mg
BP070|Fosfor (P)|125 mg
BP070|Besi (Fe)|1.0 mg
BP070|Natrium (Na)|1 mg
BP070|Kalium (K)|7.1 mg
BP070|Tembaga (Cu)|0.00 mg
BP070|Seng (Zn)|0.1 mg
BP070|Beta-Karoten (Carotenes)|0 mcg
BP070|Thiamin (Vit. B1)|0.04 mg
BP070|Riboflavin (Vit. B2)|0.00 mg
BP070|Niasin (Niacin)|0.4 mg
BP070|Vitamin C (Vit. C)|0 mg
BP071|Air (Water)|12.2 g
BP071|Energi (Energy)|332 Kal
BP071|Protein (Protein)|5.7 g
BP071|Lemak (Fat)|0.6 g
BP071|Karbohidrat (CHO)|76.1 g
BP071|Serat (Fibre)|12.2 g
BP071|Abu (ASH)|5.5 g
BP071|Kalsium (Ca)|59 mg
BP071|Fosfor (P)|302 mg
BP071|Besi (Fe)|10.7 mg
BP071|Natrium (Na)|7 mg
BP071|Kalium (K)|1,404.0 mg
BP071|Tembaga (Cu)|0.80 mg
BP071|Seng (Zn)|6.2 mg
BP071|Beta-Karoten (Carotenes)|0 mcg
BP071|Karoten Total (Re)|0 mcg
BP071|Thiamin (Vit. B1)|0.02 mg
BP071|Riboflavin (Vit. B2)|0.10 mg
BP071|Niasin (Niacin)|0.3 mg
BP071|Vitamin C (Vit. C)|0 mg
BP072|Air (Water)|9.4 g
BP072|Energi (Energy)|354 Kal
BP072|Protein (Protein)|2.8 g
BP072|Lemak (Fat)|0.6 g
BP072|Karbohidrat (CHO)|84.4 g
BP072|Serat (Fibre)|12.9 g
BP072|Abu (ASH)|2.8 g
BP072|Kalsium (Ca)|89 mg
BP072|Fosfor (P)|125 mg
BP072|Besi (Fe)|3.9 mg
BP072|Natrium (Na)|42 mg
BP072|Kalium (K)|940.0 mg
BP072|Tembaga (Cu)|0.80 mg
BP072|Seng (Zn)|0.6 mg
BP072|Beta-Karoten (Carotenes)|0 mcg
BP072|Karoten Total (Re)|0 mcg
BP072|Thiamin (Vit. B1)|0.40 mg
BP072|Riboflavin (Vit. B2)|0.02 mg
BP072|Niasin (Niacin)|0.0 mg
BP072|Vitamin C (Vit. C)|0 mg
BP073|Air (Water)|11.2 g
BP073|Energi (Energy)|353 Kal
BP073|Protein (Protein)|2.4 g
BP073|Lemak (Fat)|1.1 g
BP073|Karbohidrat (CHO)|83.4 g
BP073|Serat (Fibre)|6.5 g
BP073|Abu (ASH)|1.6 g
BP073|Kalsium (Ca)|55 mg
BP073|Fosfor (P)|95 mg
BP073|Besi (Fe)|4.7 mg
BP073|Natrium (Na)|5 mg
BP073|Kalium (K)|670.0 mg
BP073|Tembaga (Cu)|0.20 mg
BP073|Seng (Zn)|0.8 mg
BP073|Beta-Karoten (Carotenes)|0 mcg
BP073|Karoten Total (Re)|0 mcg
BP073|Thiamin (Vit. B1)|0.02 mg
BP073|Riboflavin (Vit. B2)|0.02 mg
BP073|Niasin (Niacin)|0.1 mg
BP073|Vitamin C (Vit. C)|3 mg
BP074|Air (Water)|9.1 g
BP074|Energi (Energy)|395 Kal
BP074|Protein (Protein)|3.2 g
BP074|Lemak (Fat)|8.5 g
BP074|Karbohidrat (CHO)|76.5 g
BP074|Serat (Fibre)|4.2 g
BP074|Abu (ASH)|2.7 g
BP074|Kalsium (Ca)|81 mg
BP074|Fosfor (P)|81 mg
BP074|Besi (Fe)|5.8 mg
BP074|Natrium (Na)|377 mg
BP074|Kalium (K)|469.0 mg
BP074|Tembaga (Cu)|2.10 mg
BP074|Seng (Zn)|1.2 mg
BP074|Beta-Karoten (Carotenes)|0 mcg
BP074|Karoten Total (Re)|0 mcg
BP074|Thiamin (Vit. B1)|0.40 mg
BP074|Riboflavin (Vit. B2)|0.20 mg
BP074|Niasin (Niacin)|0.2 mg
BP074|Vitamin C (Vit. C)|4 mg
BP075|Air (Water)|52.7 g
BP075|Energi (Energy)|186 Kal
BP075|Protein (Protein)|1.9 g
BP075|Lemak (Fat)|0.2 g
BP075|Karbohidrat (CHO)|44.3 g
BP075|Serat (Fibre)|3.4 g
BP075|Abu (ASH)|0.9 g
BP075|Kalsium (Ca)|37 mg
BP075|Fosfor (P)|51 mg
BP075|Besi (Fe)|0.6 mg
BP075|Natrium (Na)|1 mg
BP075|Kalium (K)|61.9 mg
BP075|Tembaga (Cu)|0.10 mg
BP075|Seng (Zn)|0.2 mg
BP075|Beta-Karoten (Carotenes)|26 mcg
BP075|Karoten Total (Re)|0 mcg
BP075|Thiamin (Vit. B1)|0.02 mg
BP075|Riboflavin (Vit. B2)|0.20 mg
BP075|Niasin (Niacin)|0.0 mg
BP075|Vitamin C (Vit. C)|0 mg
BP076|Air (Water)|66.5 g
BP076|Energi (Energy)|150 Kal
BP076|Protein (Protein)|1.1 g
BP076|Lemak (Fat)|4.0 g
BP076|Karbohidrat (CHO)|27.4 g
BP076|Abu (ASH)|1.0 g
BP076|Fosfor (P)|23 mg
BP076|Besi (Fe)|0.1 mg
BP076|Natrium (Na)|6 mg
BP076|Kalium (K)|112.0 mg
BP076|Tembaga (Cu)|0.10 mg
BP076|Seng (Zn)|0.2 mg
BP076|Retinol (Vit. A)|0 mcg
BP076|Beta-Karoten (Carotenes)|0 mcg
BP076|Karoten Total (Re)|0 mcg
BP076|Thiamin (Vit. B1)|0.53 mg
BP076|Riboflavin (Vit. B2)|0.00 mg
BP076|Niasin (Niacin)|1.3 mg
BP076|Vitamin C (Vit. C)|0 mg
BR001|Air (Water)|73.5 g
BR001|Energi (Energy)|102 Kal
BR001|Protein (Protein)|1.0 g
BR001|Lemak (Fat)|0.2 g
BR001|Karbohidrat (CHO)|24.1 g
BR001|Serat (Fibre)|1.7 g
BR001|Abu (ASH)|1.2 g
BR001|Kalsium (Ca)|28 mg
BR001|Fosfor (P)|35 mg
BR001|Besi (Fe)|1.7 mg
BR001|Natrium (Na)|36 mg
BR001|Kalium (K)|626.6 mg
BR001|Tembaga (Cu)|0.20 mg
BR001|Seng (Zn)|0.8 mg
BR001|Retinol (Vit. A)|0 mcg
BR001|Beta-Karoten (Carotenes)|15 mcg
BR001|Karoten Total (Re)|0 mcg
BR001|Thiamin (Vit. B1)|0.06 mg
BR001|Riboflavin (Vit. B2)|0.10 mg
BR001|Niasin (Niacin)|2.3 mg
BR001|Vitamin C (Vit. C)|2 mg
BR002|Air (Water)|76.7 g
BR002|Energi (Energy)|76 Kal
BR002|Protein (Protein)|1.1 g
BR002|Lemak (Fat)|0.9 g
BR002|Karbohidrat (CHO)|16.0 g
BR002|Serat (Fibre)|4.2 g
BR002|Abu (ASH)|0.7 g
BR002|Kalsium (Ca)|0 mg
BR002|Fosfor (P)|40 mg
BR002|Besi (Fe)|0.2 mg
BR002|Natrium (Na)|10 mg
BR002|Kalium (K)|200.0 mg
BR002|Tembaga (Cu)|0.20 mg
BR002|Seng (Zn)|0.3 mg
BR002|Retinol (Vit. A)|0 mcg
BR002|Beta-Karoten (Carotenes)|0 mcg
BR002|Karoten Total (Re)|0 mcg
BR002|Thiamin (Vit. B1)|0.06 mg
BR002|Riboflavin (Vit. B2)|0.00 mg
BR002|Niasin (Niacin)|0.9 mg
BR002|Vitamin C (Vit. C)|0 mg
BR003|Air (Water)|76.1 g
BR003|Energi (Energy)|89 Kal
BR003|Protein (Protein)|1.1 g
BR003|Lemak (Fat)|0.1 g
BR003|Karbohidrat (CHO)|21.0 g
BR003|Serat (Fibre)|4.0 g
BR003|Abu (ASH)|0.7 g
BR003|Kalsium (Ca)|0 mg
BR003|Fosfor (P)|40 mg
BR003|Besi (Fe)|0.2 mg
BR003|Natrium (Na)|20 mg
BR003|Kalium (K)|340.0 mg
BR003|Tembaga (Cu)|0.10 mg
BR003|Seng (Zn)|0.2 mg
BR003|Retinol (Vit. A)|0 mcg
BR003|Beta-Karoten (Carotenes)|0 mcg
BR003|Karoten Total (Re)|0 mcg
BR003|Thiamin (Vit. B1)|0.38 mg
BR003|Riboflavin (Vit. B2)|0.00 mg
BR003|Niasin (Niacin)|0.9 mg
BR003|Vitamin C (Vit. C)|0 mg
BR004|Air (Water)|63.1 g
BR004|Energi (Energy)|145 Kal
BR004|Protein (Protein)|1.2 g
BR004|Lemak (Fat)|0.4 g
BR004|Karbohidrat (CHO)|34.2 g
BR004|Serat (Fibre)|1.5 g
BR004|Abu (ASH)|1.1 g
BR004|Kalsium (Ca)|26 mg
BR004|Fosfor (P)|54 mg
BR004|Besi (Fe)|1.4 mg
BR004|Natrium (Na)|6 mg
BR004|Kalium (K)|536.1 mg
BR004|Tembaga (Cu)|0.20 mg
BR004|Seng (Zn)|0.9 mg
BR004|Retinol (Vit. A)|0 mcg
BR004|Beta-Karoten (Carotenes)|0 mcg
BR004|Karoten Total (Re)|0 mcg
BR004|Thiamin (Vit. B1)|0.10 mg
BR004|Riboflavin (Vit. B2)|0.10 mg
BR004|Niasin (Niacin)|2.3 mg
BR004|Vitamin C (Vit. C)|2 mg
BR005|Air (Water)|85.1 g
BR005|Energi (Energy)|59 Kal
BR005|Protein (Protein)|1.4 g
BR005|Lemak (Fat)|0.2 g
BR005|Karbohidrat (CHO)|12.8 g
BR005|Serat (Fibre)|1.0 g
BR005|Abu (ASH)|0.5 g
BR005|Kalsium (Ca)|15 mg
BR005|Fosfor (P)|18 mg
BR005|Besi (Fe)|0.6 mg
BR005|Natrium (Na)|2 mg
BR005|Kalium (K)|244.3 mg
BR005|Tembaga (Cu)|0.10 mg
BR005|Seng (Zn)|0.3 mg
BR005|Beta-Karoten (Carotenes)|0 mcg
BR005|Thiamin (Vit. B1)|0.04 mg
BR005|Riboflavin (Vit. B2)|0.10 mg
BR005|Niasin (Niacin)|0.2 mg
BR005|Vitamin C (Vit. C)|20 mg
BR006|Air (Water)|75.8 g
BR006|Energi (Energy)|98 Kal
BR006|Protein (Protein)|1.6 g
BR006|Lemak (Fat)|0.7 g
BR006|Karbohidrat (CHO)|20.9 g
BR006|Serat (Fibre)|0.7 g
BR006|Abu (ASH)|1.8 g
BR006|Kalsium (Ca)|44 mg
BR006|Fosfor (P)|66 mg
BR006|Besi (Fe)|1.5 mg
BR006|Kalium (K)|195.5 mg
BR006|Tembaga (Cu)|0.20 mg
BR006|Seng (Zn)|0.6 mg
BR006|Retinol (Vit. A)|0 mcg
BR006|Beta-Karoten (Carotenes)|0 mcg
BR006|Karoten Total (Re)|0 mcg
BR006|Thiamin (Vit. B1)|0.02 mg
BR006|Riboflavin (Vit. B2)|0.10 mg
BR006|Niasin (Niacin)|0.8 mg
BR006|Vitamin C (Vit. C)|0 mg
BR007|Air (Water)|20.2 g
BR007|Energi (Energy)|322 Kal
BR007|Protein (Protein)|2.4 g
BR007|Lemak (Fat)|0.6 g
BR007|Karbohidrat (CHO)|76.6 g
BR007|Abu (ASH)|0.2 g
BR007|Kalsium (Ca)|39 mg
BR007|Fosfor (P)|22 mg
BR007|Besi (Fe)|2.2 mg
BR007|Natrium (Na)|5 mg
BR007|Kalium (K)|2.0 mg
BR007|Tembaga (Cu)|0.50 mg
BR007|Seng (Zn)|0.2 mg
BR007|Retinol (Vit. A)|0 mcg
BR007|Beta-Karoten (Carotenes)|0 mcg
BR007|Karoten Total (Re)|0 mcg
BR007|Thiamin (Vit. B1)|0.45 mg
BR007|Riboflavin (Vit. B2)|0.02 mg
BR007|Niasin (Niacin)|1.0 mg
BR007|Vitamin C (Vit. C)|0 mg
BR008|Air (Water)|74.4 g
BR008|Energi (Energy)|100 Kal
BR008|Protein (Protein)|0.9 g
BR008|Lemak (Fat)|0.3 g
BR008|Karbohidrat (CHO)|23.5 g
BR008|Serat (Fibre)|2.1 g
BR008|Abu (ASH)|0.9 g
BR008|Kalsium (Ca)|79 mg
BR008|Fosfor (P)|66 mg
BR008|Besi (Fe)|0.9 mg
BR008|Natrium (Na)|8 mg
BR008|Kalium (K)|687.2 mg
BR008|Tembaga (Cu)|0.20 mg
BR008|Seng (Zn)|0.2 mg
BR008|Retinol (Vit. A)|0 mcg
BR008|Beta-Karoten (Carotenes)|0 mcg
BR008|Karoten Total (Re)|0 mcg
BR008|Thiamin (Vit. B1)|0.23 mg
BR008|Riboflavin (Vit. B2)|0.00 mg
BR008|Niasin (Niacin)|0.5 mg
BR008|Vitamin C (Vit. C)|2 mg
BR009|Air (Water)|79.9 g
BR009|Energi (Energy)|77 Kal
BR009|Protein (Protein)|0.6 g
BR009|Lemak (Fat)|0.2 g
BR009|Karbohidrat (CHO)|18.4 g
BR009|Serat (Fibre)|0.8 g
BR009|Abu (ASH)|0.9 g
BR009|Kalsium (Ca)|15 mg
BR009|Fosfor (P)|67 mg
BR009|Besi (Fe)|1.0 mg
BR009|Retinol (Vit. A)|0 mcg
BR009|Beta-Karoten (Carotenes)|0 mcg
BR009|Karoten Total (Re)|0 mcg
BR009|Thiamin (Vit. B1)|0.10 mg
BR009|Vitamin C (Vit. C)|9 mg
BR010|Air (Water)|66.4 g
BR010|Energi (Energy)|131 Kal
BR010|Protein (Protein)|1.1 g
BR010|Lemak (Fat)|0.2 g
BR010|Karbohidrat (CHO)|31.3 g
BR010|Serat (Fibre)|1.1 g
BR010|Abu (ASH)|1.0 g
BR010|Kalsium (Ca)|14 mg
BR010|Fosfor (P)|56 mg
BR010|Besi (Fe)|0.6 mg
BR010|Natrium (Na)|10 mg
BR010|Kalium (K)|200.0 mg
BR010|Tembaga (Cu)|0.20 mg
BR010|Seng (Zn)|0.3 mg
BR010|Retinol (Vit. A)|0 mcg
BR010|Beta-Karoten (Carotenes)|0 mcg
BR010|Karoten Total (Re)|0 mcg
BR010|Thiamin (Vit. B1)|0.08 mg
BR010|Riboflavin (Vit. B2)|0.00 mg
BR010|Niasin (Niacin)|0.9 mg
BR010|Vitamin C (Vit. C)|4 mg
BR011|Air (Water)|67.9 g
BR011|Energi (Energy)|127 Kal
BR011|Protein (Protein)|1.2 g
BR011|Lemak (Fat)|0.5 g
BR011|Karbohidrat (CHO)|29.5 g
BR011|Serat (Fibre)|3.4 g
BR011|Abu (ASH)|0.9 g
BR011|Kalsium (Ca)|30 mg
BR011|Fosfor (P)|8 mg
BR011|Besi (Fe)|0.7 mg
BR011|Natrium (Na)|3 mg
BR011|Kalium (K)|4.0 mg
BR011|Tembaga (Cu)|0.10 mg
BR011|Seng (Zn)|0.2 mg
BR011|Retinol (Vit. A)|0 mcg
BR011|Beta-Karoten (Carotenes)|0 mcg
BR011|Karoten Total (Re)|0 mcg
BR011|Thiamin (Vit. B1)|0.30 mg
BR011|Riboflavin (Vit. B2)|0.05 mg
BR011|Niasin (Niacin)|0.6 mg
BR011|Vitamin C (Vit. C)|0 mg
BR012|Air (Water)|66.5 g
BR012|Energi (Energy)|133 Kal
BR012|Protein (Protein)|1.0 g
BR012|Lemak (Fat)|0.2 g
BR012|Karbohidrat (CHO)|32.2 g
BR012|Serat (Fibre)|0.7 g
BR012|Abu (ASH)|0.5 g
BR012|Kalsium (Ca)|65 mg
BR012|Fosfor (P)|50 mg
BR012|Besi (Fe)|0.6 mg
BR012|Natrium (Na)|10 mg
BR012|Kalium (K)|899.2 mg
BR012|Tembaga (Cu)|0.20 mg
BR012|Seng (Zn)|0.2 mg
BR012|Retinol (Vit. A)|0 mcg
BR012|Beta-Karoten (Carotenes)|0 mcg
BR012|Karoten Total (Re)|0 mcg
BR012|Thiamin (Vit. B1)|0.01 mg
BR012|Riboflavin (Vit. B2)|0.00 mg
BR012|Niasin (Niacin)|0.3 mg
BR012|Vitamin C (Vit. C)|0 mg
BR013|Air (Water)|83.4 g
BR013|Energi (Energy)|62 Kal
BR013|Protein (Protein)|2.1 g
BR013|Lemak (Fat)|0.2 g
BR013|Karbohidrat (CHO)|13.5 g
BR013|Serat (Fibre)|0.5 g
BR013|Abu (ASH)|0.8 g
BR013|Kalsium (Ca)|63 mg
BR013|Fosfor (P)|58 mg
BR013|Besi (Fe)|0.7 mg
BR013|Natrium (Na)|7 mg
BR013|Kalium (K)|396.0 mg
BR013|Tembaga (Cu)|0.40 mg
BR013|Seng (Zn)|0.3 mg
BR013|Retinol (Vit. A)|0 mcg
BR013|Beta-Karoten (Carotenes)|0 mcg
BR013|Karoten Total (Re)|0 mcg
BR013|Thiamin (Vit. B1)|0.09 mg
BR013|Riboflavin (Vit. B2)|0.10 mg
BR013|Niasin (Niacin)|1.0 mg
BR013|Vitamin C (Vit. C)|21 mg
BR014|Air (Water)|64.0 g
BR014|Energi (Energy)|142 Kal
BR014|Protein (Protein)|0.9 g
BR014|Lemak (Fat)|0.4 g
BR014|Karbohidrat (CHO)|33.7 g
BR014|Serat (Fibre)|5.4 g
BR014|Abu (ASH)|1.0 g
BR014|Kalsium (Ca)|34 mg
BR014|Fosfor (P)|75 mg
BR014|Besi (Fe)|0.2 mg
BR014|Natrium (Na)|22 mg
BR014|Kalium (K)|890.3 mg
BR014|Tembaga (Cu)|0.90 mg
BR014|Seng (Zn)|0.6 mg
BR014|Beta-Karoten (Carotenes)|0 mcg
BR014|Thiamin (Vit. B1)|0.02 mg
BR014|Riboflavin (Vit. B2)|0.10 mg
BR014|Niasin (Niacin)|2.2 mg
BR014|Vitamin C (Vit. C)|38 mg
BR015|Air (Water)|67.0 g
BR015|Energi (Energy)|137 Kal
BR015|Protein (Protein)|1.3 g
BR015|Lemak (Fat)|1.1 g
BR015|Karbohidrat (CHO)|29.8 g
BR015|Serat (Fibre)|0.6 g
BR015|Abu (ASH)|0.8 g
BR015|Kalsium (Ca)|45 mg
BR015|Fosfor (P)|56 mg
BR015|Besi (Fe)|0.8 mg
BR015|Natrium (Na)|10 mg
BR015|Kalium (K)|885.8 mg
BR015|Tembaga (Cu)|0.20 mg
BR015|Seng (Zn)|0.3 mg
BR015|Retinol (Vit. A)|0 mcg
BR015|Beta-Karoten (Carotenes)|0 mcg
BR015|Karoten Total (Re)|0 mcg
BR015|Thiamin (Vit. B1)|0.00 mg
BR015|Riboflavin (Vit. B2)|0.00 mg
BR015|Niasin (Niacin)|0.7 mg
BR015|Vitamin C (Vit. C)|0 mg
BR016|Air (Water)|61.4 g
BR016|Energi (Energy)|154 Kal
BR016|Protein (Protein)|1.0 g
BR016|Lemak (Fat)|0.3 g
BR016|Karbohidrat (CHO)|36.8 g
BR016|Serat (Fibre)|0.9 g
BR016|Abu (ASH)|0.5 g
BR016|Kalsium (Ca)|77 mg
BR016|Fosfor (P)|24 mg
BR016|Besi (Fe)|1.1 mg
BR016|Natrium (Na)|2 mg
BR016|Kalium (K)|394.0 mg
BR016|Tembaga (Cu)|0.30 mg
BR016|Seng (Zn)|0.4 mg
BR016|Retinol (Vit. A)|0 mcg
BR016|Beta-Karoten (Carotenes)|0 mcg
BR016|Karoten Total (Re)|0 mcg
BR016|Thiamin (Vit. B1)|0.06 mg
BR016|Riboflavin (Vit. B2)|0.10 mg
BR016|Niasin (Niacin)|0.5 mg
BR016|Vitamin C (Vit. C)|31 mg
BR017|Air (Water)|55.3 g
BR017|Energi (Energy)|181 Kal
BR017|Protein (Protein)|2.8 g
BR017|Lemak (Fat)|1.2 g
BR017|Karbohidrat (CHO)|39.8 g
BR017|Serat (Fibre)|10.7 g
BR017|Abu (ASH)|0.9 g
BR017|Kalsium (Ca)|7 mg
BR017|Fosfor (P)|50 mg
BR017|Besi (Fe)|3.1 mg
BR017|Natrium (Na)|116 mg
BR017|Kalium (K)|306.0 mg
BR017|Tembaga (Cu)|1.60 mg
BR017|Seng (Zn)|0.9 mg
BR017|Retinol (Vit. A)|0 mcg
BR017|Beta-Karoten (Carotenes)|0 mcg
BR017|Karoten Total (Re)|0 mcg
BR017|Thiamin (Vit. B1)|0.28 mg
BR017|Riboflavin (Vit. B2)|0.05 mg
